,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
161,2011-01-08 00:00:00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25
8942,2012-08-14 23:00:00,3,0,1,1,29.52,34.09,66,11.0014,53,114,167
1951,2011-05-08 05:00:00,2,0,0,2,18.04,21.97,77,0.0,0,5,5
1704,2011-04-16 22:00:00,2,0,0,3,17.22,21.21,100,0.0,2,22,24
7941,2012-06-11 06:00:00,2,0,1,1,25.42,28.79,83,7.0015,8,136,144
7292,2012-05-03 05:00:00,2,0,1,2,18.86,22.725,88,16.9979,1,20,21
4467,2011-10-18 04:00:00,4,0,1,2,18.04,21.97,94,7.0015,0,4,4
9939,2012-10-18 12:00:00,4,0,1,2,24.6,31.06,53,16.9979,93,284,377
9726,2012-10-09 15:00:00,4,0,1,2,21.32,25.0,63,11.0014,59,195,254
9460,2012-09-17 13:00:00,3,0,1,1,26.24,30.305,65,16.9979,112,231,343
3949,2011-09-15 14:00:00,3,0,1,2,26.24,30.305,65,27.9993,36,134,170
6944,2012-04-07 16:00:00,2,0,0,1,22.14,25.76,19,26.0027,354,261,615
6038,2012-02-07 20:00:00,1,0,1,1,14.76,17.425,50,8.9981,6,206,212
7116,2012-04-14 21:00:00,2,0,0,2,22.96,26.515,43,8.9981,53,167,220
5987,2012-02-05 16:00:00,1,0,0,1,12.3,14.395,56,15.0013,35,261,296
7297,2012-05-03 10:00:00,2,0,1,2,21.32,25.0,77,0.0,36,132,168
8745,2012-08-06 18:00:00,3,0,1,1,33.62,37.12,41,8.9981,100,743,843
4683,2011-11-08 05:00:00,4,0,1,1,12.3,15.91,87,6.0032,1,17,18
2909,2011-07-10 03:00:00,3,0,0,1,27.06,31.06,74,6.0032,6,19,25
1655,2011-04-14 21:00:00,2,0,1,1,18.86,22.725,63,8.9981,19,126,145
1120,2011-03-11 08:00:00,1,0,1,1,11.48,13.635,70,16.9979,15,244,259
1097,2011-03-10 08:00:00,1,0,1,3,15.58,19.695,0,19.0012,1,43,44
2130,2011-05-15 16:00:00,2,0,0,1,26.24,30.305,69,16.9979,158,282,440
6488,2012-03-07 14:00:00,1,0,1,1,21.32,25.0,36,22.0028,38,137,175
7383,2012-05-07 00:00:00,2,0,1,2,21.32,25.0,77,8.9981,13,21,34
3097,2011-07-17 23:00:00,3,0,0,1,28.7,33.335,74,8.9981,39,54,93
3888,2011-09-13 01:00:00,3,0,1,1,23.78,27.275,83,7.0015,4,6,10
1149,2011-03-12 13:00:00,1,0,0,1,14.76,16.665,51,23.9994,62,95,157
4610,2011-11-05 04:00:00,4,0,0,1,11.48,12.88,56,22.0028,3,5,8
4544,2011-11-02 10:00:00,4,0,1,1,16.4,20.455,71,6.0032,25,108,133
2006,2011-05-10 12:00:00,2,0,1,2,24.6,31.06,38,0.0,47,170,217
1532,2011-04-09 17:00:00,2,0,0,2,15.58,19.695,82,6.0032,128,129,257
261,2011-01-12 08:00:00,1,0,1,1,6.56,8.335,59,11.0014,3,125,128
661,2011-02-10 19:00:00,1,0,1,1,5.74,8.335,28,7.0015,2,110,112
4830,2011-11-14 08:00:00,4,0,1,2,18.86,22.725,67,12.998,27,425,452
9369,2012-09-13 18:00:00,3,0,1,1,27.88,31.82,57,16.9979,108,744,852
3763,2011-09-07 18:00:00,3,0,1,3,26.24,28.79,89,0.0,18,219,237
10622,2012-12-09 00:00:00,4,0,0,2,16.4,20.455,87,8.9981,15,103,118
10071,2012-11-05 00:00:00,4,0,1,2,12.3,14.395,56,12.998,3,20,23
6903,2012-04-05 23:00:00,2,0,1,1,16.4,20.455,50,8.9981,12,124,136
4487,2011-10-19 00:00:00,4,0,1,2,21.32,25.0,77,12.998,11,23,34
9812,2012-10-13 05:00:00,4,0,0,1,12.3,14.395,61,12.998,0,11,11
6759,2012-03-18 22:00:00,1,0,0,1,20.5,24.24,77,7.0015,21,79,100
9388,2012-09-14 13:00:00,3,0,1,2,28.7,32.575,54,12.998,107,301,408
5292,2011-12-14 14:00:00,4,0,1,2,15.58,19.695,54,6.0032,17,134,151
6332,2012-03-01 02:00:00,1,0,1,2,18.86,22.725,94,19.0012,0,6,6
3814,2011-09-09 22:00:00,3,0,1,1,25.42,27.275,94,0.0,33,127,160
3282,2011-08-06 16:00:00,3,0,0,3,30.34,35.605,79,11.0014,155,188,343
335,2011-01-15 11:00:00,1,0,0,1,8.2,9.85,55,15.0013,18,54,72
3332,2011-08-08 18:00:00,3,0,1,1,34.44,37.88,41,8.9981,64,465,529
1892,2011-05-05 18:00:00,2,0,1,1,22.96,26.515,26,19.0012,64,456,520
7973,2012-06-12 14:00:00,2,0,1,3,26.24,28.79,89,16.9979,12,48,60
2559,2011-06-14 13:00:00,2,0,1,1,26.24,31.06,44,15.0013,33,176,209
605,2011-02-08 09:00:00,1,0,1,1,9.84,9.85,52,32.9975,7,128,135
1140,2011-03-12 04:00:00,1,0,0,1,9.84,11.365,65,16.9979,0,1,1
4892,2011-11-16 22:00:00,4,0,1,3,17.22,21.21,88,15.0013,1,45,46
6971,2012-04-08 19:00:00,2,0,0,1,24.6,30.305,23,26.0027,89,187,276
3817,2011-09-10 01:00:00,3,0,0,2,25.42,27.275,94,0.0,16,67,83
2418,2011-06-08 16:00:00,2,0,1,1,37.72,43.94,40,15.0013,34,199,233
4608,2011-11-05 02:00:00,4,0,0,1,12.3,13.635,52,22.0028,7,24,31
3577,2011-08-18 23:00:00,3,0,1,2,28.7,33.335,74,8.9981,20,94,114
4694,2011-11-08 16:00:00,4,0,1,1,22.96,26.515,46,8.9981,39,250,289
4596,2011-11-04 14:00:00,4,0,1,1,18.04,21.97,47,19.9995,54,147,201
6034,2012-02-07 16:00:00,1,0,1,1,18.04,21.97,35,16.9979,19,257,276
7650,2012-05-18 03:00:00,2,0,1,1,18.86,22.725,72,6.0032,6,8,14
8277,2012-07-06 06:00:00,3,0,1,1,30.34,34.85,66,12.998,4,127,131
2174,2011-05-17 12:00:00,2,0,1,3,22.96,26.515,83,27.9993,38,115,153
188,2011-01-09 03:00:00,1,0,0,1,4.1,3.79,46,27.9993,0,4,4
9870,2012-10-15 15:00:00,4,0,1,1,24.6,28.79,78,22.0028,70,190,260
10834,2012-12-17 20:00:00,4,0,1,2,17.22,21.21,94,16.9979,8,192,200
5968,2012-02-04 21:00:00,1,0,0,3,9.84,12.12,93,8.9981,4,74,78
5566,2012-01-07 01:00:00,1,0,0,1,15.58,19.695,46,11.0014,6,56,62
1695,2011-04-16 13:00:00,2,0,0,3,18.86,22.725,94,35.0008,9,49,58
8765,2012-08-07 14:00:00,3,0,1,2,33.62,37.88,46,0.0,76,185,261
1637,2011-04-14 03:00:00,2,0,1,1,13.94,16.665,81,8.9981,0,2,2
10815,2012-12-17 01:00:00,4,0,1,2,15.58,19.695,87,7.0015,1,14,15
3806,2011-09-09 14:00:00,3,0,1,1,29.52,34.85,74,6.0032,29,119,148
9233,2012-09-08 02:00:00,3,0,0,1,27.06,29.545,89,22.0028,9,68,77
10313,2012-11-15 03:00:00,4,0,1,2,10.66,14.395,70,6.0032,0,2,2
6844,2012-04-03 12:00:00,2,0,1,1,21.32,25.0,25,0.0,101,230,331
385,2011-01-17 13:00:00,1,1,0,2,7.38,9.85,47,8.9981,13,80,93
1657,2011-04-14 23:00:00,2,0,1,1,18.86,22.725,59,7.0015,7,40,47
4359,2011-10-13 16:00:00,4,0,1,1,27.06,31.06,74,15.0013,36,240,276
4250,2011-10-09 03:00:00,4,0,0,1,18.04,21.97,88,0.0,10,20,30
8514,2012-07-16 03:00:00,3,0,1,1,27.88,31.82,79,6.0032,2,4,6
6931,2012-04-07 03:00:00,2,0,0,1,14.76,16.665,32,16.9979,7,21,28
8843,2012-08-10 20:00:00,3,0,1,1,30.34,34.85,66,19.9995,55,315,370
1105,2011-03-10 16:00:00,1,0,1,3,17.22,21.21,0,16.9979,1,20,21
7088,2012-04-13 17:00:00,2,0,1,1,22.96,26.515,24,11.0014,117,621,738
9167,2012-09-05 08:00:00,3,0,1,1,29.52,34.85,74,12.998,33,692,725
7250,2012-05-01 11:00:00,2,0,1,2,27.06,31.06,65,19.0012,50,179,229
1044,2011-03-08 01:00:00,1,0,1,1,9.84,12.12,52,8.9981,0,4,4
2149,2011-05-16 11:00:00,2,0,1,1,26.24,31.06,57,0.0,56,129,185
1714,2011-04-17 08:00:00,2,0,0,1,15.58,19.695,46,26.0027,7,36,43
4195,2011-10-06 20:00:00,4,0,1,1,20.5,24.24,77,7.0015,29,231,260
3032,2011-07-15 06:00:00,3,0,1,2,24.6,29.545,73,7.0015,12,108,120
9163,2012-09-05 04:00:00,3,0,1,1,28.7,33.335,79,19.0012,2,3,5
4742,2011-11-10 16:00:00,4,0,1,3,14.76,17.425,81,15.0013,6,67,73
2193,2011-05-18 07:00:00,2,0,1,1,22.14,25.76,88,12.998,14,260,274
5877,2012-02-01 02:00:00,1,0,1,1,18.04,21.97,44,19.0012,1,6,7
9283,2012-09-10 04:00:00,3,0,1,1,21.32,25.0,68,19.0012,1,4,5
4599,2011-11-04 17:00:00,4,0,1,1,17.22,21.21,38,23.9994,42,438,480
4998,2011-12-02 08:00:00,4,0,1,1,9.84,14.395,87,0.0,13,432,445
1985,2011-05-09 15:00:00,2,0,1,1,25.42,31.06,41,15.0013,51,148,199
9069,2012-09-01 06:00:00,3,0,0,1,27.88,31.82,79,0.0,13,23,36
7018,2012-04-10 18:00:00,2,0,1,1,22.14,25.76,22,27.9993,78,626,704
4848,2011-11-15 02:00:00,4,0,1,1,22.96,26.515,64,16.9979,7,8,15
8593,2012-07-19 10:00:00,3,0,1,1,31.16,35.605,58,12.998,41,157,198
2595,2011-06-16 01:00:00,2,0,1,1,23.78,27.275,60,0.0,4,13,17
9336,2012-09-12 09:00:00,3,0,1,1,24.6,30.305,64,8.9981,50,278,328
488,2011-02-03 11:00:00,1,0,1,1,7.38,6.82,43,30.0026,9,55,64
5467,2012-01-02 22:00:00,1,1,0,2,9.02,10.605,44,19.0012,3,36,39
4793,2011-11-12 19:00:00,4,0,0,1,17.22,21.21,50,16.9979,32,139,171
984,2011-03-05 11:00:00,1,0,0,2,16.4,20.455,76,15.0013,43,116,159
3358,2011-08-09 20:00:00,3,0,1,1,32.8,36.365,43,12.998,34,258,292
9227,2012-09-07 20:00:00,3,0,1,1,29.52,34.09,66,15.0013,51,340,391
7058,2012-04-12 11:00:00,2,0,1,1,17.22,21.21,47,19.9995,50,174,224
9424,2012-09-16 01:00:00,3,0,0,1,22.14,25.76,64,0.0,35,82,117
9337,2012-09-12 10:00:00,3,0,1,1,25.42,30.305,61,8.9981,57,148,205
7695,2012-06-01 00:00:00,2,0,1,1,27.06,31.06,50,16.9979,10,76,86
4593,2011-11-04 11:00:00,4,0,1,2,18.04,21.97,67,30.0026,34,128,162
3550,2011-08-17 20:00:00,3,0,1,1,30.34,34.09,58,16.9979,37,243,280
7595,2012-05-15 20:00:00,2,0,1,3,26.24,30.305,73,8.9981,30,233,263
4300,2011-10-11 05:00:00,4,0,1,2,21.32,25.0,88,0.0,0,20,20
9545,2012-10-02 02:00:00,4,0,1,2,22.14,25.76,77,7.0015,0,2,2
739,2011-02-14 04:00:00,1,0,1,1,13.12,15.15,53,19.0012,0,2,2
3973,2011-09-16 14:00:00,3,0,1,2,22.14,25.76,45,11.0014,49,176,225
7968,2012-06-12 09:00:00,2,0,1,2,26.24,28.79,89,19.0012,31,254,285
1851,2011-05-04 01:00:00,2,0,1,3,20.5,24.24,82,19.0012,1,6,7
8070,2012-06-16 15:00:00,2,0,0,1,30.34,32.575,35,16.9979,295,288,583
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28
8374,2012-07-10 07:00:00,3,0,1,2,28.7,33.335,74,7.0015,31,489,520
9876,2012-10-15 21:00:00,4,0,1,1,21.32,25.0,59,22.0028,16,190,206
3538,2011-08-17 08:00:00,3,0,1,1,28.7,32.575,54,11.0014,35,452,487
888,2011-03-01 11:00:00,1,0,1,1,11.48,13.635,45,16.9979,8,48,56
6627,2012-03-13 10:00:00,1,0,1,1,21.32,25.0,77,15.0013,28,115,143
4553,2011-11-02 19:00:00,4,0,1,1,16.4,20.455,76,8.9981,25,257,282
8747,2012-08-06 20:00:00,3,0,1,1,31.16,36.365,66,11.0014,89,368,457
5037,2011-12-03 23:00:00,4,0,0,1,12.3,15.15,70,8.9981,12,73,85
552,2011-02-06 04:00:00,1,0,0,1,10.66,11.365,60,23.9994,0,2,2
5151,2011-12-08 17:00:00,4,0,1,1,12.3,15.91,49,7.0015,10,321,331
2847,2011-07-07 13:00:00,3,0,1,1,35.26,39.395,41,0.0,48,107,155
885,2011-03-01 08:00:00,1,0,1,1,8.2,9.09,59,26.0027,10,204,214
3603,2011-09-01 01:00:00,3,0,1,1,24.6,29.545,73,6.0032,7,14,21
7094,2012-04-13 23:00:00,2,0,1,1,17.22,21.21,62,6.0032,35,163,198
5713,2012-01-13 05:00:00,1,0,1,2,12.3,12.12,70,36.9974,0,21,21
8013,2012-06-14 06:00:00,2,0,1,1,23.78,27.275,60,19.0012,12,169,181
4850,2011-11-15 04:00:00,4,0,1,1,22.96,26.515,64,19.9995,1,6,7
1497,2011-04-08 06:00:00,2,0,1,2,13.94,18.18,87,0.0,2,33,35
6644,2012-03-14 03:00:00,1,0,1,1,19.68,23.485,72,12.998,1,3,4
3498,2011-08-15 16:00:00,3,0,1,1,30.34,34.09,55,22.0028,58,225,283
413,2011-01-19 06:00:00,1,0,1,2,9.02,12.88,93,6.0032,0,32,32
7238,2012-04-19 23:00:00,2,0,1,1,20.5,24.24,63,7.0015,20,124,144
1376,2011-04-03 05:00:00,2,0,0,1,11.48,13.635,65,15.0013,1,4,5
8069,2012-06-16 14:00:00,2,0,0,1,29.52,32.575,37,15.0013,264,309,573
7048,2012-04-12 01:00:00,2,0,1,1,13.12,15.15,66,15.0013,2,7,9
154,2011-01-07 17:00:00,1,0,1,2,8.2,12.88,37,0.0,9,178,187
1319,2011-03-19 20:00:00,1,0,0,1,17.22,21.21,35,15.0013,39,69,108
5588,2012-01-07 23:00:00,1,0,0,1,17.22,21.21,38,15.0013,16,103,119
3462,2011-08-14 04:00:00,3,0,0,3,26.24,28.03,94,12.998,1,2,3
5217,2011-12-11 11:00:00,4,0,0,1,10.66,15.15,35,0.0,31,166,197
542,2011-02-05 18:00:00,1,0,0,2,11.48,12.12,93,30.0026,2,81,83
5041,2011-12-04 03:00:00,4,0,0,1,11.48,15.91,75,0.0,7,34,41
10022,2012-11-02 23:00:00,4,0,1,1,13.94,15.15,53,19.9995,11,108,119
9741,2012-10-10 06:00:00,4,0,1,2,18.86,22.725,88,6.0032,3,172,175
1816,2011-05-02 14:00:00,2,0,1,1,26.24,30.305,69,15.0013,48,133,181
1964,2011-05-08 18:00:00,2,0,0,1,23.78,27.275,49,0.0,63,205,268
1639,2011-04-14 05:00:00,2,0,1,1,13.94,17.425,76,6.0032,2,12,14
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8,102,110
4015,2011-09-18 08:00:00,3,0,0,1,18.86,22.725,72,16.9979,16,53,69
511,2011-02-04 11:00:00,1,0,1,1,9.02,11.365,51,11.0014,3,61,64
6510,2012-03-08 12:00:00,1,0,1,2,22.96,26.515,60,30.0026,27,224,251
4564,2011-11-03 06:00:00,4,0,1,1,13.94,16.665,76,12.998,3,96,99
4357,2011-10-13 14:00:00,4,0,1,1,27.06,30.305,78,12.998,22,111,133
4761,2011-11-11 11:00:00,4,1,0,1,13.94,14.395,42,32.9975,20,150,170
4407,2011-10-15 16:00:00,4,0,0,1,25.42,31.06,29,26.0027,179,264,443
7399,2012-05-07 16:00:00,2,0,1,2,24.6,31.06,53,26.0027,68,320,388
9866,2012-10-15 11:00:00,4,0,1,2,24.6,29.545,73,26.0027,88,175,263
9615,2012-10-05 00:00:00,4,0,1,1,22.96,26.515,73,0.0,16,86,102
6652,2012-03-14 11:00:00,1,0,1,2,25.42,31.06,41,11.0014,65,155,220
8287,2012-07-06 16:00:00,3,0,1,1,37.72,40.91,29,7.0015,69,300,369
10882,2012-12-19 20:00:00,4,0,1,1,14.76,17.425,57,15.0013,10,231,241
4502,2011-10-19 16:00:00,4,0,1,3,22.96,26.515,94,11.0014,21,180,201
3638,2011-09-02 12:00:00,3,0,1,2,27.06,31.06,69,15.0013,82,178,260
62,2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157
2058,2011-05-12 16:00:00,2,0,1,2,26.24,31.06,57,16.9979,50,238,288
6581,2012-03-11 12:00:00,1,0,0,1,16.4,20.455,37,19.9995,146,264,410
10689,2012-12-11 19:00:00,4,0,1,1,13.12,15.15,53,15.0013,21,412,433
7404,2012-05-07 21:00:00,2,0,1,2,22.14,25.76,45,15.0013,37,210,247
4759,2011-11-11 09:00:00,4,1,0,1,13.12,14.395,45,30.0026,15,186,201
8816,2012-08-09 17:00:00,3,0,1,1,35.26,37.88,36,16.9979,111,699,810
1019,2011-03-06 23:00:00,1,0,0,2,9.02,9.85,100,27.9993,0,9,9
5121,2011-12-07 11:00:00,4,0,1,3,18.04,21.97,100,6.0032,3,47,50
463,2011-02-02 09:00:00,1,0,1,2,9.84,12.88,93,6.0032,4,119,123
6749,2012-03-18 12:00:00,1,0,0,2,18.04,21.97,88,8.9981,222,281,503
9694,2012-10-08 07:00:00,4,1,0,2,13.94,16.665,76,11.0014,3,151,154
8335,2012-07-08 16:00:00,3,0,0,2,32.8,40.15,66,15.0013,65,226,291
5339,2011-12-16 13:00:00,4,0,1,2,13.94,15.15,39,23.9994,12,125,137
2538,2011-06-13 16:00:00,2,0,1,1,28.7,31.82,37,27.9993,64,262,326
7579,2012-05-15 04:00:00,2,0,1,3,22.96,26.515,94,0.0,1,4,5
9042,2012-08-19 03:00:00,3,0,0,2,25.42,30.305,61,11.0014,21,34,55
4310,2011-10-11 15:00:00,4,0,1,2,24.6,28.79,78,11.0014,36,139,175
5546,2012-01-06 05:00:00,1,0,1,2,8.2,10.605,80,8.9981,0,13,13
5214,2011-12-11 08:00:00,4,0,0,1,6.56,11.365,69,0.0,4,68,72
7916,2012-06-10 05:00:00,2,0,0,1,25.42,30.305,69,6.0032,3,10,13
6801,2012-04-01 16:00:00,2,0,0,1,21.32,25.0,52,16.9979,236,275,511
10043,2012-11-03 20:00:00,4,0,0,1,13.94,16.665,53,8.9981,23,158,181
10424,2012-11-19 18:00:00,4,0,1,2,16.4,20.455,58,16.9979,21,559,580
560,2011-02-06 12:00:00,1,0,0,1,13.94,16.665,46,0.0,48,126,174
10228,2012-11-11 14:00:00,4,0,0,1,24.6,31.06,33,11.0014,292,362,654
2689,2011-06-19 23:00:00,2,0,0,1,27.06,30.305,78,12.998,14,78,92
8923,2012-08-14 04:00:00,3,0,1,2,27.88,31.82,83,12.998,0,5,5
9193,2012-09-06 10:00:00,3,0,1,3,27.06,29.545,94,8.9981,9,40,49
1852,2011-05-04 02:00:00,2,0,1,3,20.5,24.24,82,19.0012,0,4,4
6327,2012-02-19 21:00:00,1,0,0,3,10.66,12.88,65,11.0014,3,33,36
4004,2011-09-17 21:00:00,3,0,0,2,20.5,24.24,72,12.998,49,121,170
3161,2011-08-01 15:00:00,3,0,1,1,36.9,39.395,27,0.0,52,77,129
1881,2011-05-05 07:00:00,2,0,1,1,15.58,19.695,58,16.9979,16,255,271
1076,2011-03-09 09:00:00,1,0,1,2,10.66,12.12,87,16.9979,5,136,141
2308,2011-06-04 02:00:00,2,0,0,1,22.14,25.76,56,12.998,18,41,59
8239,2012-07-04 16:00:00,3,1,0,1,37.72,42.425,35,16.9979,163,226,389
6265,2012-02-17 07:00:00,1,0,1,2,11.48,14.395,93,7.0015,4,222,226
2744,2011-07-03 06:00:00,3,0,0,2,25.42,27.275,94,6.0032,0,3,3
6811,2012-04-02 02:00:00,2,0,1,3,18.04,21.97,94,8.9981,2,3,5
981,2011-03-05 08:00:00,1,0,0,2,12.3,13.635,100,19.9995,11,34,45
7338,2012-05-05 03:00:00,2,0,0,1,23.78,27.275,83,0.0,11,21,32
2910,2011-07-10 04:00:00,3,0,0,1,27.06,31.06,69,6.0032,0,5,5
1821,2011-05-02 19:00:00,2,0,1,2,25.42,30.305,69,8.9981,46,268,314
6175,2012-02-13 13:00:00,1,0,1,1,13.12,15.15,22,15.0013,11,129,140
4758,2011-11-11 08:00:00,4,1,0,1,12.3,13.635,42,23.9994,9,249,258
6266,2012-02-17 08:00:00,1,0,1,2,10.66,15.15,100,0.0,4,516,520
6744,2012-03-18 07:00:00,1,0,0,3,17.22,21.21,88,11.0014,17,25,42
2393,2011-06-07 15:00:00,2,0,1,2,33.62,37.12,41,22.0028,56,127,183
6343,2012-03-01 13:00:00,1,0,1,1,23.78,27.275,32,16.9979,24,187,211
5846,2012-01-18 19:00:00,1,0,1,1,9.02,9.85,37,26.0027,5,251,256
7329,2012-05-04 18:00:00,2,0,1,1,28.7,32.575,54,31.0009,77,564,641
6293,2012-02-18 11:00:00,1,0,0,1,13.12,16.665,57,8.9981,102,184,286
9838,2012-10-14 07:00:00,4,0,0,1,17.22,21.21,82,15.0013,7,44,51
460,2011-02-02 06:00:00,1,0,1,3,9.02,12.12,93,7.0015,1,17,18
10543,2012-12-05 17:00:00,4,0,1,1,18.04,21.97,35,19.0012,29,576,605
4972,2011-12-01 06:00:00,4,0,1,1,9.84,10.605,65,19.0012,5,92,97
558,2011-02-06 10:00:00,1,0,0,1,12.3,14.395,52,16.9979,15,74,89
7412,2012-05-08 05:00:00,2,0,1,2,21.32,25.0,72,19.0012,0,20,20
579,2011-02-07 07:00:00,1,0,1,1,7.38,12.12,86,0.0,6,89,95
9481,2012-09-18 10:00:00,3,0,1,3,27.88,31.82,79,43.0006,30,130,160
3201,2011-08-03 07:00:00,3,0,1,2,30.34,33.335,51,15.0013,19,252,271
6319,2012-02-19 13:00:00,1,0,0,1,12.3,15.15,49,11.0014,64,197,261
3414,2011-08-12 04:00:00,3,0,1,1,25.42,31.06,53,8.9981,0,5,5
5304,2011-12-15 02:00:00,4,0,1,2,13.12,16.665,70,8.9981,2,5,7
8406,2012-07-11 15:00:00,3,0,1,1,32.8,35.605,41,16.9979,56,220,276
2273,2011-06-02 15:00:00,2,0,1,1,32.8,34.09,21,26.0027,44,144,188
4294,2011-10-10 23:00:00,4,1,0,2,22.14,25.76,88,7.0015,12,63,75
939,2011-03-03 14:00:00,1,0,1,1,9.84,12.88,21,7.0015,18,60,78
9465,2012-09-17 18:00:00,3,0,1,2,25.42,29.545,73,11.0014,66,708,774
2155,2011-05-16 17:00:00,2,0,1,1,23.78,27.275,88,15.0013,47,227,274
3928,2011-09-14 17:00:00,3,0,1,1,31.16,34.85,52,19.0012,87,512,599
4215,2011-10-07 16:00:00,4,0,1,1,26.24,31.06,44,0.0,73,346,419
10190,2012-11-10 00:00:00,4,0,0,1,13.12,16.665,76,6.0032,16,106,122
2488,2011-06-11 14:00:00,2,0,0,1,33.62,38.635,49,7.0015,148,232,380
1954,2011-05-08 08:00:00,2,0,0,1,21.32,25.0,63,8.9981,28,58,86
7178,2012-04-17 11:00:00,2,0,1,1,24.6,31.06,33,27.9993,65,174,239
1138,2011-03-12 02:00:00,1,0,0,1,9.84,11.365,65,12.998,0,14,14
6053,2012-02-08 11:00:00,1,0,1,2,10.66,12.88,65,15.0013,5,97,102
9976,2012-11-01 01:00:00,4,0,1,1,12.3,15.91,75,7.0015,8,22,30
10752,2012-12-14 10:00:00,4,0,1,1,10.66,12.88,81,12.998,28,162,190
5736,2012-01-14 04:00:00,1,0,0,1,5.74,7.575,50,8.9981,0,3,3
2252,2011-06-01 18:00:00,2,0,1,3,33.62,39.395,56,26.0027,31,278,309
2497,2011-06-11 23:00:00,2,0,0,1,27.06,31.06,74,7.0015,24,107,131
3222,2011-08-04 04:00:00,3,0,1,2,27.88,31.82,89,0.0,0,7,7
7789,2012-06-04 22:00:00,2,0,1,1,22.96,26.515,52,19.0012,41,127,168
1970,2011-05-09 00:00:00,2,0,1,1,18.86,22.725,82,6.0032,31,22,53
5856,2012-01-19 05:00:00,1,0,1,1,4.92,6.06,55,16.9979,0,19,19
10007,2012-11-02 08:00:00,4,0,1,1,13.12,16.665,57,7.0015,31,656,687
4607,2011-11-05 01:00:00,4,0,0,1,13.12,15.15,45,19.9995,5,57,62
7005,2012-04-10 05:00:00,2,0,1,1,13.94,16.665,71,8.9981,0,24,24
